Date,Price,Open,High,Low,Vol.,Change %
29/11/2023,12.7075,12.175,14.46,11.3325,,0.0437
28/11/2023,12.175,11.33,12.4925,11.065,,0.0746
24/11/2023,11.33,11.315,11.465,8.6775,,0.0013
23/11/2023,11.315,11.865,12.14,10.975,,-4.64%
22/11/2023,11.865,12.2325,12.7075,11.0225,,-3.00%
21/11/2023,12.2325,12.1475,12.435,10.755,,0.007
20/11/2023,12.1475,11.8275,12.67,11.2,,0.0271
17/11/2023,11.8275,11.6475,12.09,10.19,,0.0155
16/11/2023,11.6475,11.135,11.8075,10.6175,,0.046
15/11/2023,11.135,11.1875,11.4175,8.395,,-0.47%
13/11/2023,11.1875,11.3475,11.6325,10.5025,,-1.41%
12/11/2023,11.3475,9.7525,11.54,9.7525,,0.0216
10/11/2023,11.1075,10.9825,11.3575,9.86,,0.0114
09/11/2023,10.9825,11.0375,11.2525,10.37,,-0.50%
08/11/2023,11.0375,11.1925,11.3325,10.63,,-1.38%
07/11/2023,11.1925,11.105,12.1775,11,,0.0079
06/11/2023,11.105,10.8825,11.28,10.38,,0.0204
03/11/2023,10.8825,11.075,11.075,10.635,,-1.74%
02/11/2023,11.075,12.0475,12.0475,10.9475,,-8.07%
01/11/2023,12.0475,11.825,12.195,11.825,,0.0188
31/10/2023,11.825,11.49,12.285,11.2625,,0.0292
30/10/2023,11.49,10.905,12.1925,10.905,,0.0536
27/10/2023,10.905,11.73,12.305,10.6725,,-7.03%
26/10/2023,11.73,11.3125,12.7,11.3125,,0.0369
25/10/2023,11.3125,10.905,12.1775,9.965,,0.0374
23/10/2023,10.905,10.8175,11.3575,8.825,,0.0081
20/10/2023,10.8175,10.8975,11.09,10.075,,-0.73%
19/10/2023,10.8975,10.965,11.2125,10.0475,,-0.62%
18/10/2023,10.965,10.695,11.17,10.485,,0.0252
17/10/2023,10.695,11.07,11.07,10.4275,,-3.39%
16/10/2023,11.07,10.6175,11.1525,9.1525,,0.0426
13/10/2023,10.6175,10.6175,11.025,10.4025,,0.00%
12/10/2023,10.6175,10.985,11.1175,10.565,,-3.35%
11/10/2023,10.985,11.27,11.3225,10.39,,-2.53%
10/10/2023,11.27,11.4,11.4,10.855,,-1.14%
09/10/2023,11.4,10.3,11.6325,10.12,,0.1068
06/10/2023,10.3,10.94,10.94,9.73,,-5.85%
05/10/2023,10.94,11.655,11.655,10.8425,,-6.13%
04/10/2023,11.655,11.7875,12.22,11.115,,-1.12%
03/10/2023,11.7875,11.4525,12.4075,10.775,,0.0293
29/09/2023,11.4525,12.8225,12.8225,11.3075,,-10.68%
28/09/2023,12.8225,11.585,13.0225,9.3975,,0.1068
27/09/2023,11.585,11.185,11.8225,9.39,,0.0358
26/09/2023,11.185,10.9,11.29,9.2475,,0.0261
25/09/2023,10.9,10.66,11.305,10.2725,,0.0225
22/09/2023,10.66,10.8175,11.0725,10.3925,,-1.46%
21/09/2023,10.8175,11.1275,11.39,10.62,,-2.79%
20/09/2023,11.1275,10.835,11.47,10.835,,0.027
18/09/2023,10.835,10.9025,11.4075,10.45,,-0.62%
15/09/2023,10.9025,11.3175,11.32,10.0725,,-3.67%
14/09/2023,11.3175,11.8275,12.0425,11.21,,-4.31%
13/09/2023,11.8275,11.69,12.0475,11.535,,0.0118
12/09/2023,11.69,11.3475,12.0225,10.7125,,0.0302
11/09/2023,11.3475,10.78,11.5,10.3375,,0.0526
08/09/2023,10.78,10.8725,10.97,10.0775,,-0.85%
07/09/2023,10.8725,10.6775,11.025,9.8,,0.0183
06/09/2023,10.6775,10.815,10.975,9.805,,-1.27%
05/09/2023,10.815,10.9625,11.085,9.365,,-1.35%
04/09/2023,10.9625,11.365,11.5425,10.86,,-3.54%
01/09/2023,11.365,12.0625,12.18,10.4075,,-5.78%
31/08/2023,12.0625,11.8,12.28,11.76,,0.0222
30/08/2023,11.8,12.225,12.2425,11.4625,,-3.48%
29/08/2023,12.225,12.3975,12.4625,10.6475,,-1.39%
28/08/2023,12.3975,12.0825,12.72,9.5,,0.0261
25/08/2023,12.0825,11.7,12.2425,9.98,,0.0327
24/08/2023,11.7,11.7275,12.235,10.1975,,-0.23%
23/08/2023,11.7275,11.7475,11.885,10.3075,,-0.17%
22/08/2023,11.7475,11.96,12.085,11.59,,-1.78%
21/08/2023,11.96,12.1425,12.59,11.1725,,-1.50%
18/08/2023,12.1425,12.24,12.4925,10.7875,,-0.80%
17/08/2023,12.24,12.125,12.665,12.1125,,0.0095
16/08/2023,12.125,11.995,12.6825,11.995,,0.0108
14/08/2023,11.995,11.5225,12.755,10.4775,,0.041
11/08/2023,11.5225,11.4,11.865,11.355,,0.0107
10/08/2023,11.4,11.14,11.91,10.6275,,0.0233
09/08/2023,11.14,11.325,11.765,10.485,,-1.63%
08/08/2023,11.325,11.1025,11.53,11.1025,,0.02
07/08/2023,11.1025,10.5725,11.4175,10.4025,,0.0501
04/08/2023,10.5725,11.185,11.185,10.4825,,-5.48%
03/08/2023,11.185,11.2775,11.96,10.9825,,-0.82%
02/08/2023,11.2775,10.2825,11.805,9.95,,0.0968
01/08/2023,10.2825,10.4125,10.7025,10.195,,-1.25%
31/07/2023,10.4125,10.135,11.1875,10.135,,0.0274
28/07/2023,10.135,10.5125,10.81,10.035,,-3.59%
27/07/2023,10.5125,10.4575,10.9825,9.8875,,0.0053
26/07/2023,10.4575,10.2425,10.8625,10.2175,,0.021
25/07/2023,10.2425,11.6525,11.6525,10.1125,,-12.10%
24/07/2023,11.6525,11.485,11.995,10.5375,,0.0146
21/07/2023,11.485,11.785,12.0325,11.06,,-2.55%
20/07/2023,11.785,11.6,12.255,11.37,,0.0159
19/07/2023,11.6,11.71,11.9375,11.54,,-0.94%
18/07/2023,11.71,11.315,12.02,11.0675,,0.0349
17/07/2023,11.315,10.6825,11.3975,9.8575,,0.0592
14/07/2023,10.6825,10.9375,10.9375,10.6125,,-2.33%
13/07/2023,10.9375,10.935,11.1725,10.695,,0.0002
12/07/2023,10.935,11.0125,11.2,10.72,,-0.70%
11/07/2023,11.0125,11.4625,11.4625,10.945,,-3.93%
10/07/2023,11.4625,11.5325,12.01,11.36,,-0.61%
07/07/2023,11.5325,11.84,12.0725,11.08,,-2.60%
06/07/2023,11.84,11.8825,12.205,11.7775,,-0.36%
05/07/2023,11.8825,11.7,12.21,11.5675,,0.0156
04/07/2023,11.7,11.54,11.99,11.5225,,0.0139
03/07/2023,11.54,10.8,12.03,10.8,,0.0685
30/06/2023,10.8,10.8875,11.215,10.07,,-0.80%
28/06/2023,10.8875,10.7775,11.535,10.6525,,0.0102
27/06/2023,10.7775,11.395,11.4225,10.6925,,-5.42%
26/06/2023,11.395,11.235,11.925,11.235,,0.0142
23/06/2023,11.235,11.5475,11.8375,11.1425,,-2.71%
22/06/2023,11.5475,11.2925,11.7125,10.6925,,0.0226
21/06/2023,11.2925,11.1325,11.4325,10.77,,0.0144
20/06/2023,11.1325,11.225,11.4375,10.5675,,-0.82%
19/06/2023,11.225,10.84,11.4975,10.33,,0.0355
16/06/2023,10.84,11.08,11.08,10.5575,,-2.17%
15/06/2023,11.08,11.1625,11.37,9.6925,,-0.74%
14/06/2023,11.1625,11.11,11.3675,10.6325,,0.0047
13/06/2023,11.11,11.245,11.25,9.99,,-1.20%
12/06/2023,11.245,11.12,11.8025,10.5825,,0.0112
09/06/2023,11.12,11.2575,11.2975,10.3075,,-1.22%
08/06/2023,11.2575,11.4425,11.5675,10.13,,-1.62%
07/06/2023,11.4425,11.38,11.5375,9.6375,,0.0055
06/06/2023,11.38,11.1375,11.6175,10.465,,0.0218
05/06/2023,11.1375,11.125,11.335,10.3225,,0.0011
02/06/2023,11.125,11.5975,11.735,10.86,,-4.07%
01/06/2023,11.5975,11.9725,11.9725,11.22,,-3.13%
31/05/2023,11.9725,12.01,12.4675,11.58,,-0.31%
30/05/2023,12.01,12.2975,12.38,11.7675,,-2.34%
29/05/2023,12.2975,11.9,12.4925,8.8075,,0.0334
26/05/2023,11.9,12.52,12.8575,11.7,,-4.95%
25/05/2023,12.52,13.1125,13.1325,8.1825,,-4.52%
24/05/2023,13.1125,12.605,13.4375,12.41,,0.0403
23/05/2023,12.605,12.57,13.075,12.3175,,0.0028
22/05/2023,12.57,12.3025,12.82,11.555,,0.0217
19/05/2023,12.3025,12.795,12.82,11.6875,,-3.85%
18/05/2023,12.795,13.105,13.105,11.1375,,-2.37%
17/05/2023,13.105,13.2925,13.58,11.895,,-1.41%
16/05/2023,13.2925,13.1725,13.485,11.71,,0.0091
15/05/2023,13.1725,12.8525,13.615,12.5375,,0.0249
12/05/2023,12.8525,13.215,13.51,12.7375,,-2.74%
11/05/2023,13.215,13.0825,13.74,12.815,,0.0101
10/05/2023,13.0825,12.6775,13.2975,11.5425,,0.0319
09/05/2023,12.6775,12.635,12.815,11.6575,,0.0034
08/05/2023,12.635,12.295,12.91,11.7225,,0.0277
